T057	-149.8	499
T049	-120.0	499
T087	-279.5	724
T004	-192.7	688
T038	-157.1	499
T047	-141.3	449
T068	-134.0	498
T065	-285.1	730
T043	-132.1	442
T094	-90.0	376
T101	-175.8	507
T102	-186.4	509
T103	-247.6	694
T082	-137.6	483
T099	-213.5	699
T001	-215.9	602
T009	-155.2	499
T062	-110.0	499
T096	-153.0	499
T095	-148.2	499
T093	-162.1	499
T061	-325.8	796
T051	-151.7	499
T025	-250.4	699
T077	-143.5	499
T076	-169.8	499
T024	-120.0	499
T006	-138.7	499
T023	-130.8	499
T090	-239.8	699
T036	-97.8	299
T011	-144.9	499
T034	-97.6	499
T008	-153.2	499
T015	-93.1	299
T028	-139.1	499
T088	-325.0	822
T055	-353.3	780
T040	-141.9	499
T014	-152.7	499
T097	-166.6	499
T064	-141.5	429
T089	-318.3	762
T056	-338.3	865
T005	-153.6	489
T037	-156.8	549
T091	-130.3	462
T029	-89.8	312
T052	-142.7	518
T035	-55.7	249
T010	-97.2	401
T067	-161.1	499
T013	-173.7	529
T048	-158.9	499
T026	-147.2	499
T030	-50.7	303
T012	-79.8	299
T021	-47.9	269
T083	-165.7	539
T080	-203.1	528
T074	-200.9	783
T042	-100.4	352
T031	-186.8	589
T069	-80.3	322
T033	-214.6	572
T053	-215.8	588
T019	-205.0	579
T039	-188.1	491
T045	-154.0	499
T066	-101.3	480
T086	-238.8	699
T071	-216.6	761
T072	-234.0	770
T078	-273.7	812
T058	-222.7	730
T059	-357.0	823
T060	-334.8	823
T063	-246.2	739
T073	-250.2	679
T075	-145.6	401
T079	-326.1	809
T084	-321.4	848
T098	-126.7	431
T050	-139.9	418
T002	-146.7	479
T016	-155.6	499
T070	-331.9	851
T007	-143.0	499
T100	-206.6	699
T003	-165.3	752
T017	-132.9	498
T020	-299.3	898
T027	-145.8	499
T081	-302.3	757
T085	-498.2	1130
T032	-80.1	299
T092	-268.0	736
T041	-215.6	766
T046	-114.3	397
T104	-198.8	754
T054	-143.0	575
T018	-147.6	624
T022	-194.4	603
T044	-144.8	499
